active_time	online_time	num_message	ave_message	ave_time_inter	median_time_inter	ave_message_reply	ratio_male_contact	most_used_platform	num_platform	num_short_time_inter	num_receiver_age	num_reply_message	num_reply_user	num_user_to	reply_percent	periodic_pvalue	userid_from	bot
16364	28615	76	76	381.533333333333	85	40	1	3	2	4	1	40	1	1	1	0.999999998138882	70234	0
10841	21210	169	9.94117647058824	126.25	25	15.8	1	9	1	28	4	158	10	17	0.588235294117647	0.0405825746261227	123093	0
10214	10214	5	1.66666666666667	2553.5	2557	1	1	10	1	0	2	2	2	3	0.666666666666667	1	123698	0
28669	28669	175	9.72222222222222	164.764367816092	28	8.76470588235294	1	3	2	54	4	149	17	18	0.944444444444444	0.844855333396013	46761	0
3011	22922	49	12.25	477.541666666667	49	9.5	1	3	1	2	2	38	4	4	1	1	31965	0
9471	21948	106	11.7777777777778	209.028571428571	26	17	1	3	1	15	4	136	8	9	0.888888888888889	0.999999999999987	139344	0
281	281	9	9	35.125	33	10	1	2	1	1	1	10	1	1	1	0.624731019774613	87441	0
28792	28792	1457	28.5686274509804	19.7747252747253	7	25.5686274509804	0.92156862745098	9	1	886	4	1304	51	51	1	0.805180724880168	139956	1
18202	18202	184	2.78787878787879	99.4644808743169	25	5.44444444444444	1	9	1	26	7	98	18	66	0.272727272727273	1	56273	0
28402	28402	233	4.23636363636364	122.422413793103	26.5	5.74074074074074	0.944444444444444	3	1	15	2	310	54	55	0.981818181818182	0.999488868863428	103926	0
9870	25174	8	8	3596.28571428571	1548	14	1	9	1	0	1	14	1	1	1	0.547558777604547	78472	0
9806	25135	356	20.9411764705882	70.8028169014084	23	21.2941176470588	1	1	1	26	3	362	17	17	1	0.748460825739576	94195	0
6727	6727	210	9.54545454545454	32.1866028708134	24	11.45	1	3	1	33	4	229	20	22	0.909090909090909	0.357307266716258	81193	0
24262	24262	113	18.8333333333333	216.625	30.5	27.1666666666667	1	3	1	20	2	163	6	6	1	0.749319666858475	69669	0
17685	17685	183	6.77777777777778	97.1703296703297	39	14.1111111111111	1	3	1	15	6	127	9	27	0.333333333333333	0.999064931828058	65296	0
10043	10043	131	14.5555555555556	77.2538461538462	47.5	23	1	3	1	11	3	207	9	9	1	0.231794631394134	136123	0
NA	0	1	1	NA	NA	NA	1	9	1	NA	1	0	0	1	0	1	44931	0
5854	5854	241	6.025	24.3916666666667	14	7.1	1	1	1	85	6	71	10	40	0.25	1	85374	0
1233	1233	61	12.2	20.55	18	13.8	1	7	1	8	4	69	5	5	1	0.505323078353372	112226	0
7686	7686	9	9	960.75	95	10	1	9	1	1	1	10	1	1	1	0.439269875515878	95405	0
425	425	15	15	30.3571428571429	22.5	6	1	9	1	4	1	6	1	1	1	0.98607468993188	42296	0
27514	27514	98	5.44444444444444	283.649484536082	45	7.11111111111111	0.944444444444444	3	2	3	4	128	18	18	1	0.531414185194379	100785	0
14663	14663	495	27.5	29.6821862348178	15	28.5	1	7	1	168	2	513	18	18	1	0.559523241751641	133276	0
3720	3720	107	7.64285714285714	35.0943396226415	19	4.625	1	9	1	37	3	37	8	14	0.571428571428571	0.999809350719239	94028	0
17005	27861	177	16.0909090909091	158.301136363636	33	16.75	1	1	2	38	4	134	8	11	0.727272727272727	0.999999999998596	118567	0
25754	25754	222	6	116.533936651584	41	13.6666666666667	0.027027027027027	3	1	23	4	164	12	37	0.324324324324324	0.932974235825023	70990	0
1158	1158	24	24	50.3478260869565	33	24	1	3	1	0	1	24	1	1	1	0.984493414334436	66169	0
